"componentId","componentType","layer","assemblyStep","quantityGroup","nameEn"
"PAV-FND-01","FOUNDATION","0","1","FOUNDATION","Lower octagonal terrace"
"PAV-FND-02","FOUNDATION","0","1","FOUNDATION","Recessed stone course"
"PAV-FND-03","FOUNDATION","0","1","FOUNDATION","Upper octagonal platform"
"PAV-BASE-01","COLUMN_BASE","1","2","COLUMN_BASE","Column base 1"
"PAV-BASE-02","COLUMN_BASE","1","2","COLUMN_BASE","Column base 2"
"PAV-BASE-03","COLUMN_BASE","1","2","COLUMN_BASE","Column base 3"
"PAV-BASE-04","COLUMN_BASE","1","2","COLUMN_BASE","Column base 4"
"PAV-BASE-05","COLUMN_BASE","1","2","COLUMN_BASE","Column base 5"
"PAV-BASE-06","COLUMN_BASE","1","2","COLUMN_BASE","Column base 6"
"PAV-BASE-07","COLUMN_BASE","1","2","COLUMN_BASE","Column base 7"
"PAV-BASE-08","COLUMN_BASE","1","2","COLUMN_BASE","Column base 8"
"PAV-COL-01","COLUMN","2","3","COLUMN","Perimeter timber column 1"
"PAV-COL-02","COLUMN","2","3","COLUMN","Perimeter timber column 2"
"PAV-COL-03","COLUMN","2","3","COLUMN","Perimeter timber column 3"
"PAV-COL-04","COLUMN","2","3","COLUMN","Perimeter timber column 4"
"PAV-COL-05","COLUMN","2","3","COLUMN","Perimeter timber column 5"
"PAV-COL-06","COLUMN","2","3","COLUMN","Perimeter timber column 6"
"PAV-COL-07","COLUMN","2","3","COLUMN","Perimeter timber column 7"
"PAV-COL-08","COLUMN","2","3","COLUMN","Perimeter timber column 8"
"PAV-RING-01","BEAM","3","4","RING_BEAM","Octagonal ring beam 1"
"PAV-RING-02","BEAM","3","4","RING_BEAM","Octagonal ring beam 2"
"PAV-RING-03","BEAM","3","4","RING_BEAM","Octagonal ring beam 3"
"PAV-RING-04","BEAM","3","4","RING_BEAM","Octagonal ring beam 4"
"PAV-RING-05","BEAM","3","4","RING_BEAM","Octagonal ring beam 5"
"PAV-RING-06","BEAM","3","4","RING_BEAM","Octagonal ring beam 6"
"PAV-RING-07","BEAM","3","4","RING_BEAM","Octagonal ring beam 7"
